action,choice1,choice2,firstPlayer,game,indexOf,judgements1,judgements2,leftLabel,outcome,phase,rangeProb1,rangeProb2,status,template,templates,time,uniqueid,viewTime
,B,A,_v,coordination,,Emily's selection doesn't matter as both yield same options. No info gained.,Maria turns down $12 to be able to deny Emily of $12.,Definitely<br />Friends,1.0,TRIAL,50,99,,,,389333.0,20,
,A,A,_v,coordination,,Luke's selections are identical results. No information is gained.,"Kate choose so that she and Luke both benefit, but this doesn't signify friendship necessarily in my opinion.",Definitely<br />Friends,0.0,TRIAL,50,42,,,,439676.0,20,
,A,A,_v,threat,,Frank takes hit to gains in order to benefit Ryan.,Ryan maximizes both benefits.,Definitely<br />Friends,0.0,TRIAL,17,0,,,,492364.0,20,
,A,A,_v,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,52,50,,,,533939.0,20,
,B,A,_v,threat,,"Megan selects to maximize her benefit, but reduces Geoff's max.","Geoff decided to maximize both of their earnings, rationally.",Definitely<br />Friends,1.0,TRIAL,57,50,,,,591538.0,20,
,B,B,_v,threat,,David chooses rationally to maximize his earnings no matter Austin's choice.,Austin pays $6 to deny David of $6 additional.,Definitely<br />Friends,3.0,TRIAL,50,100,,,,636234.0,20,
,,,,,,,,,,END,,,begin,,,,20,
,,,,,,,,,,END,,,submit,,,,20,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,21,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,21,7029.0
,B,A,_v,singleControl,,She chose ones that only benefited her ,She chose ones that only benefited her ,Definitely<br />Enemies,1.0,TRIAL,26,33,,,,31556.0,21,
,A,A,_v,singleControl,,They chose equal shares,Equal shares,Definitely<br />Enemies,0.0,TRIAL,76,81,,,,60526.0,21,
,B,A,_v,threat,,he chose somthing that would benefit him ,They both chose something that would pay both of them,Definitely<br />Enemies,1.0,TRIAL,62,52,,,,119204.0,21,
,A,A,_v,threat,,David wants money,Gerald helped david and himself,Definitely<br />Enemies,0.0,TRIAL,62,61,,,,153964.0,21,
,B,B,_h,threat,,William is dumb and doesn't understand people and will not receive money ,Jacob just chose the option that paid him,Definitely<br />Enemies,3.0,TRIAL,51,51,,,,211544.0,21,
,B,B,_h,disjunctive,,she is risking b for no reason,they're both stupid or frank really doesn't like sally.,Definitely<br />Enemies,3.0,TRIAL,68,20,,,,280204.0,21,
,B,B,_h,attentionGame,,She is going for an even split,they evenly split it.,Definitely<br />Enemies,,TRIAL,72,80,,,,304070.0,21,
,A,A,_v,disjunctive,,He chose the column with no 0s,Even split,Definitely<br />Enemies,0.0,TRIAL,81,73,,,,329398.0,21,
,A,B,_h,coordination,,No difference which column jack chose,Neither got anything,Definitely<br />Enemies,1.0,TRIAL,67,16,,,,359738.0,21,
,A,A,_h,coordination,,Same choice,even split,Definitely<br />Enemies,0.0,TRIAL,52,72,,,,375998.0,21,
,B,B,_v,pd,,"Kate chose the option where the only choice is to pick even split or pay her the most, a very good choice",even split,Definitely<br />Enemies,3.0,TRIAL,52,65,,,,419368.0,21,
,A,A,_h,pd,,Rebecca is hoping that she gets the larger even split ,They split it.,Definitely<br />Enemies,0.0,TRIAL,69,93,,,,456831.0,21,
,,,,,,,,,,END,,,begin,,,,21,
,,,,,,,,,,END,,,submit,,,,21,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,22,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,22,93939.0
,A,A,_v,disjunctive,,"They both get the same amount of money, so this is probably the choice anyone would pick.","They chose the one where both people receive 12, but the only other option would result them in getting 0.",Definitely<br />Enemies,0.0,TRIAL,50,61,,,,90696.0,22,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,22,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,22,2680.0
,B,B,_v,disjunctive,,Seems like Matt dislikes the other person enough to possibly have them get no money at all.,"Matt may have disliked the other person so much that he did not want them to get money so bad, that he took the fall as well.",Definitely<br />Enemies,3.0,TRIAL,11,2,,,,179076.0,22,
,A,B,_h,singleControl,,"Both choices are virtually the same, so it is hard to tell whether they are friends or not.",Both choices are the same so it is difficult to tell.,Definitely<br />Enemies,1.0,TRIAL,50,50,,,,215864.0,22,
,A,A,_h,singleControl,,Both choices are the same.,"Both choices are the same, so it doesn't really matter what his choice is.",Definitely<br />Enemies,0.0,TRIAL,50,50,,,,252382.0,22,
,A,A,_h,pd,,Olivia seems like she wants to make sure her friend gets the most money possible.,Gerald does not seem to care about how much money Olivia gets.,Definitely<br />Enemies,0.0,TRIAL,92,35,,,,312578.0,22,
,B,B,_v,pd,,"Jacob chooses pretty selfishly, and wants to get the most for himself.",Rebecca wants to have the best chance to get the most money for herself.,Definitely<br />Enemies,3.0,TRIAL,37,50,,,,348467.0,22,
,B,A,_v,coordination,,"Both choices are the same virtually, and can achieve the same outcomes.",Both choices are the same virtually.,Definitely<br />Enemies,1.0,TRIAL,50,50,,,,377669.0,22,
,A,A,_h,coordination,,Both choices are pretty much the same.,Both choices are the same. They lucked out and picked the same letter.,Definitely<br />Enemies,0.0,TRIAL,50,50,,,,404348.0,22,
,B,B,_h,threat,,Maria picked B to give her friend the best chance to earn more money.,Richmond wanted to maximize his earnings so picked b.,Definitely<br />Enemies,3.0,TRIAL,80,50,,,,465954.0,22,
,B,B,_h,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,54,50,,,,487804.0,22,
,A,A,_h,threat,,"Hannah wants to maximize her earnings, so she picked A.",Hannah wants to earn the most she can so she picks A.,Definitely<br />Enemies,0.0,TRIAL,50,50,,,,532825.0,22,
,A,B,_h,threat,,William wants to make the most money he can.,Jack wants the best chance to earn the most he can.,Definitely<br />Enemies,1.0,TRIAL,50,50,,,,561957.0,22,
,,,,,,,,,,END,,,begin,,,,22,
,,,,,,,,,,END,,,submit,,,,22,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,23,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,23,20137.0
,A,B,_h,coordination,,It is shared evenly if they choose A and none if they choose B,His choice made sure neighter would get any,Definitely<br />Enemies,1.0,TRIAL,85,2,,,,59981.0,23,
,A,A,_v,coordination,,Trying to give equal for both,They wanted to give each other equal amounts,Definitely<br />Enemies,0.0,TRIAL,66,95,,,,87664.0,23,
,A,A,_v,threat,,Chose what would give the other the most payout,Got most fo rhimself but still gave some to other,Definitely<br />Enemies,0.0,TRIAL,75,57,,,,135387.0,23,
,B,B,_h,threat,,Most payout for other person,He made sure Robert got nothing even if it meant he got less,Definitely<br />Enemies,3.0,TRIAL,84,7,,,,177339.0,23,
,B,A,_v,threat,,She wants to get the most for herself,Made sure they both got some,Definitely<br />Enemies,1.0,TRIAL,43,53,,,,212271.0,23,
,A,A,_h,pd,,Equalized payment,THey both get the same amount,Definitely<br />Enemies,0.0,TRIAL,86,94,,,,243187.0,23,
,B,B,_v,pd,,She wants only for herself,Made sure Olivia got less and she got some,Definitely<br />Enemies,3.0,TRIAL,4,9,,,,275263.0,23,
,B,B,_v,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,50,50,,,,293494.0,23,
,A,B,_h,singleControl,,Equal for both,Richmond made sure Sally got nothing,Definitely<br />Enemies,1.0,TRIAL,73,5,,,,319694.0,23,
,A,A,_v,singleControl,,Equal for both,Made sure they both got equal amount,Definitely<br />Enemies,0.0,TRIAL,66,94,,,,339122.0,23,
,B,B,_v,disjunctive,,Both would get equal,"Even at expense at his own payout, he made sure she got nothing",Definitely<br />Enemies,3.0,TRIAL,54,4,,,,374506.0,23,
,A,A,_v,disjunctive,,Makes sure both get 12,Both get equal,Definitely<br />Enemies,0.0,TRIAL,93,66,,,,392842.0,23,
,,,,,,,,,,END,,,begin,,,,23,
,,,,,,,,,,END,,,submit,,,,23,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,24,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,24,34267.0
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,24,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,24,19665.0
,A,B,_h,coordination,,I think that Sydney is friends with the other player based on the fact that they could both end up with $12.,If they were friends I would think Kaylee would have chosen A as well.,Definitely<br />Friends,1.0,TRIAL,0,100,,,,153247.0,24,
,A,A,_v,coordination,,I'm not sure if they are friends.  I would think they are because they would both end up with $12.,They both ended up in the best outcome.,Definitely<br />Friends,0.0,TRIAL,50,0,,,,228784.0,24,
,B,B,_h,disjunctive,,I'm not completely sure if they would be friends.  It could go either way.,Gerald made a decision resulting in both of them not receiving any money.,Definitely<br />Friends,3.0,TRIAL,50,100,,,,300519.0,24,
,A,A,_v,disjunctive,,"Hannah choose the best option for herself so I""m not sure how that goes with their friendship.",Rebecca chose in a way that they both receive the money.,Definitely<br />Friends,0.0,TRIAL,50,0,,,,425652.0,24,
,A,A,_h,pd,,They are friends because he makes a choice that results in the other player also receiving money.,They are friends because they both end up with money.,Definitely<br />Friends,0.0,TRIAL,0,0,,,,521187.0,24,
,B,B,_v,pd,,Zoe seems to have did what was best for her.,I'm not sure if they are friends or not.  I do know  the choice made it so they had equal amounts.,Definitely<br />Friends,3.0,TRIAL,98,50,,,,622249.0,24,
,B,B,_h,threat,,I think they could be friends but then I think there is a possibility they could not be.  It is hard to tell.,If they are friends than Richmond is the kindest friend out there.  He ended up with nothing.,Definitely<br />Friends,3.0,TRIAL,50,50,,,,738711.0,24,
,A,B,_h,threat,,I think they could be friends because he chose the most money for the both of them.,I'm not sure they are friends because Matthew acted very selfishly. ,Definitely<br />Friends,1.0,TRIAL,0,50,,,,797582.0,24,
,A,A,_v,threat,,I think that Jack and Kate are friends and that he wants her to have more.,I think they are definitely friends and that Jack wanted Kate to have more.,Definitely<br />Friends,0.0,TRIAL,0,0,,,,946368.0,24,
,A,A,_v,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,50,50,,,,967796.0,24,
,A,B,_h,singleControl,,I'm not really sure because the amounts don't change and no matter what she chose it would be the same.,Based on the choice I would say that they are not friends.,Definitely<br />Friends,1.0,TRIAL,50,100,,,,1030213.0,24,
,A,A,_v,singleControl,,"They are friends because the choice gives them both the same, while the other choice would have left Olivia with nothing.",I just think they are friends because of Luke's choice.,Definitely<br />Friends,0.0,TRIAL,0,0,,,,1104288.0,24,
,,,,,,,,,,END,,,begin,,,,24,
,,,,,,,,,,END,,,submit,,,,24,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,25,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,25,121362.0
,B,B,_h,pd,,"If they were friends, she would have choosen a and they could be equal amounts.","They have the same amount, not more than the other",Definitely<br />Enemies,3.0,TRIAL,6,86,,,,76678.0,25,
,A,A,_h,pd,,"Equal amounts they are equal, not enemies ","they are equal; not enemies, same amount of money",Definitely<br />Enemies,0.0,TRIAL,88,88,,,,147789.0,25,
,A,A,_h,threat,,Luke is very generous - giving more than receiving,"Luke is generous, giving more away.",Definitely<br />Enemies,0.0,TRIAL,100,90,,,,199959.0,25,
,A,B,_h,threat,,could be either way; at least it wasn't zero,He did what Sally did- gave a little bit,Definitely<br />Enemies,1.0,TRIAL,48,50,,,,271287.0,25,
,B,B,_v,threat,,could go either way - at least got something,did the same thing Lauren did - gave a little,Definitely<br />Enemies,3.0,TRIAL,50,50,,,,314493.0,25,
,A,B,_h,coordination,,even steven - the most for both,Not sure why you would choose that - could be either,Definitely<br />Enemies,1.0,TRIAL,87,50,,,,386936.0,25,
,A,A,_v,coordination,,same amount for both - nice,they are friends - same amt,Definitely<br />Enemies,0.0,TRIAL,78,77,,,,420646.0,25,
,A,A,_v,disjunctive,,nice - equal amounts to both,"yep friends, equal amt to both",Definitely<br />Enemies,0.0,TRIAL,50,83,,,,447662.0,25,
,B,B,_h,disjunctive,,nice equal amounts to both,well i guess they are enemies - no money for either,Definitely<br />Enemies,3.0,TRIAL,51,10,,,,499226.0,25,
,B,B,_h,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,50,50,,,,513817.0,25,
,A,B,_h,singleControl,,hard to say - equal amounts to both,more money to one of them,Definitely<br />Enemies,1.0,TRIAL,51,7,,,,548196.0,25,
,A,A,_v,singleControl,,equal amounts - better than 0,equal amounts better than 0,Definitely<br />Enemies,0.0,TRIAL,52,76,,,,588567.0,25,
,,,,,,,,,,END,,,begin,,,,25,
,,,,,,,,,,END,,,submit,,,,25,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,26,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,26,36319.0
,A,A,_h,singleControl,,she chose matthew to recieve 6 dollars ,choose to share equally ,Definitely<br />Friends,0.0,TRIAL,18,26,,,,169771.0,26,
,A,B,_h,singleControl,,sydney could just be nice ,hannah is not a nice person ,Definitely<br />Friends,1.0,TRIAL,44,57,,,,288291.0,26,
,A,A,_h,threat,,ryan is greedy,ryan is greedy,Definitely<br />Friends,0.0,TRIAL,51,63,,,,369464.0,26,
,A,B,_h,threat,,Rebecca is greedy also,emily is greedy also,Definitely<br />Friends,1.0,TRIAL,57,61,,,,452192.0,26,
,B,B,_h,threat,,gerald is greedy ,franks is nice,Definitely<br />Friends,3.0,TRIAL,64,53,,,,547274.0,26,
,B,B,_h,disjunctive,,Richmond is a good person,austin is mean,Definitely<br />Friends,3.0,TRIAL,33,90,,,,643551.0,26,
,A,A,_v,disjunctive,,Kaylee is nice,Olivia is kind and generous,Definitely<br />Friends,0.0,TRIAL,23,0,,,,723710.0,26,
,B,B,_h,pd,,luke is fair,kate is fair also,Definitely<br />Friends,3.0,TRIAL,22,13,,,,798498.0,26,
,A,A,_v,pd,,Sally is a person who shares,Gavin like to be fair,Definitely<br />Friends,0.0,TRIAL,16,9,,,,879051.0,26,
,A,A,_v,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,50,50,,,,952848.0,26,
,B,A,_v,coordination,,Jack just choice b  because it was the only way he would gain,neither wanted the other to gain ,Definitely<br />Friends,1.0,TRIAL,53,100,,,,1104309.0,26,
,A,A,_h,coordination,,he wanted matt to gain,he wanted both to gain ,Definitely<br />Friends,0.0,TRIAL,23,21,,,,1204609.0,26,
,,,,,,,,,,END,,,begin,,,,26,
,,,,,,,,,,END,,,submit,,,,26,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,27,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,27,39056.0
,A,A,_h,singleControl,,They both get equal so it seems like she likes him and is kind,I htink they wanted to get equal amounts so no one lost,Definitely<br />Enemies,0.0,TRIAL,69,90,,,,45847.0,27,
,B,A,_v,singleControl,,This one is not equal so i dont think they were friends,I think he only cared about himself,Definitely<br />Enemies,1.0,TRIAL,35,12,,,,91358.0,27,
,A,A,_v,pd,,they are equal so I think they are friends,I think they are friends becuase they wanted each to get money,Definitely<br />Enemies,0.0,TRIAL,89,94,,,,119584.0,27,
,B,B,_v,pd,,I think he was looking for himself,I htink it was just luck the received equal,Definitely<br />Enemies,3.0,TRIAL,10,10,,,,156682.0,27,
,A,B,_h,coordination,,They wanted each other to get money,Hmm now im not sure. Maybe it was luck,Definitely<br />Enemies,1.0,TRIAL,91,43,,,,186982.0,27,
,A,A,_v,coordination,,THey seem like they wanted to be equal,They wanted each other to get the same amount,Definitely<br />Enemies,0.0,TRIAL,80,99,,,,213847.0,27,
,A,A,_h,disjunctive,,I think they wanted each other to get equal,They each wanted to get equal money,Definitely<br />Enemies,0.0,TRIAL,89,94,,,,239410.0,27,
,B,B,_v,disjunctive,,They wanted to give each other same amount,i think this was a case of bad luck,Definitely<br />Enemies,3.0,TRIAL,92,94,,,,261128.0,27,
,A,A,_h,threat,,It seems like he wanted to share but he still wanted more money,He still wanted to receive the most ,Definitely<br />Enemies,0.0,TRIAL,62,50,,,,294070.0,27,
,A,A,_h,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,50,50,,,,315651.0,27,
,B,B,_h,threat,,She only cared about herself,Im not really sure on this one,Definitely<br />Enemies,3.0,TRIAL,21,54,,,,367769.0,27,
,A,B,_h,threat,,I think she likes him but still wants to get more money,I think this was case of bad luck,Definitely<br />Enemies,1.0,TRIAL,53,53,,,,395709.0,27,
,,,,,,,,,,END,,,begin,,,,27,
,,,,,,,,,,END,,,submit,,,,27,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,28,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,28,52282.0
,B,B,_h,disjunctive,,Sally chose zero.,Both players received zero.,Definitely<br />Enemies,3.0,TRIAL,0,0,,,,101141.0,28,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,28,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,28,76336.0
,A,A,_v,disjunctive,,Both are friends.,Shows both are friends.,Definitely<br />Enemies,0.0,TRIAL,100,100,,,,264833.0,28,
,A,A,_h,pd,,Both are friends,both get same amount,Definitely<br />Enemies,0.0,TRIAL,97,100,,,,332547.0,28,
,B,B,_h,pd,,won't know until William chooses,both get same amount,Definitely<br />Enemies,3.0,TRIAL,21,98,,,,399021.0,28,
,B,A,_v,coordination,,won't know until Hannah chooses,enemies due to both getting zero,Definitely<br />Enemies,1.0,TRIAL,27,0,,,,497589.0,28,
,A,A,_h,coordination,,won't know until Gavin chooses,Friends due to same amount,Definitely<br />Enemies,0.0,TRIAL,99,100,,,,583100.0,28,
,B,A,_v,threat,,both have to choose for accurate results,they each received money,Definitely<br />Enemies,1.0,TRIAL,17,69,,,,665667.0,28,
,A,A,_v,threat,,both have to choose,both got money,Definitely<br />Enemies,0.0,TRIAL,73,60,,,,715467.0,28,
,B,B,_h,threat,,someone is getting zero,someone was getting zero,Definitely<br />Enemies,3.0,TRIAL,5,0,,,,806171.0,28,
,B,B,_h,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,50,50,,,,847027.0,28,
,A,A,_v,singleControl,,Sydney needs to choose for analysis,both got the same,Definitely<br />Enemies,0.0,TRIAL,73,100,,,,896108.0,28,
,A,B,_h,singleControl,,makes sure both get the same,Jack didn't want Olivia to get any moolah,Definitely<br />Enemies,1.0,TRIAL,100,0,,,,973611.0,28,
,,,,,,,,,,END,,,begin,,,,28,
,,,,,,,,,,END,,,submit,,,,28,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,29,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,29,87439.0
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,29,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,29,8113.0
,A,A,_h,pd,,Hannah's choice provides Frank with the opportunity to earn more money than if she had chosen B. She has also given Frank the option to not let Hannah earn any money.,"Frank chose the option that earned him less money. This was the ""fair"" choice that earned both people the same amount of money. I think this makes it likely that they are friends.",Definitely<br />Friends,0.0,TRIAL,15,4,,,,217772.0,29,
,B,B,_v,pd,,Lauren has protected herself from not earning any money. She may not trust Emily to pick A if she also chose A. ,I do not think this changes the likely hood of being enemies much. Emily simply chose the option that earned her the most money. ,Definitely<br />Friends,3.0,TRIAL,84,91,,,,351948.0,29,
,A,A,_h,coordination,,I think it is equally likely they are friends or enemies. Both choices present the same possible payouts. ,I think it is slightly more likely they are friends. If Jack did not like Megan he may be tempted to stop Megan from earning any money out of spite. ,Definitely<br />Friends,0.0,TRIAL,51,41,,,,522317.0,29,
,A,B,_h,coordination,,I think it is equally likely that they are friends or enemies since the possible payouts are the same. ,Daniel choosing to sacrifice his own earnings to stop Luke from earning any money signals to me they are enemies. ,Definitely<br />Friends,1.0,TRIAL,50,100,,,,608668.0,29,
,B,B,_v,disjunctive,,I think it is more likely that they are friends. Rebecca may trust Gavin to pick A. ,If they were friends I do not think Gavin would give up $12 so Rebecca would nothing.,Definitely<br />Friends,3.0,TRIAL,39,100,,,,752403.0,29,
,A,A,_h,disjunctive,,I think it is equally likely that they are friends or enemies. William may trust Sydney but also want to make sure they both earn $12. ,Sydney did not have a meaningful choice to make so I do not think the odds changed. ,Definitely<br />Friends,0.0,TRIAL,55,50,,,,862262.0,29,
,A,A,_v,singleControl,,I think it is more likely they are friends since Kaylee prevented Kate from earning nothing. ,Kate did not have a meaningful choice so I do not think the odds changed. ,Definitely<br />Friends,0.0,TRIAL,9,8,,,,993906.0,29,
,B,A,_v,singleControl,,Matthew prevented Geoff from earning any money when his own payouts did not change. ,Geoff did not have a meaningful choice so the odds do not change. ,Definitely<br />Friends,1.0,TRIAL,100,100,,,,1046590.0,29,
,B,A,_v,threat,,I think it is slightly more likely that they are enemies since Richmond made the more selfish choice. ,I do not think the odds changed since Matt simply made the choice that earned him more money. ,Definitely<br />Friends,1.0,TRIAL,58,59,,,,1158245.0,29,
,B,A,_v,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,50,50,,,,1179814.0,29,
,A,A,_v,threat,,I think they are friends because Austin made a choice that earns him less than Gerald with the possibility of earning nothing. ,I do not think the odds changed because Gerald simply chose the option that earned him the most money. ,Definitely<br />Friends,0.0,TRIAL,6,7,,,,1275446.0,29,
,B,B,_h,threat,,I think it is more likely they are enemies because Jacob chose the option that earns both players less money with the possibility of earning nothing for one of the players. ,If they were friends Maria may have chosen A and give her friend money. Since she chose B I think they are definitely enemies. ,Definitely<br />Friends,3.0,TRIAL,90,100,,,,1420722.0,29,
,,,,,,,,,,END,,,begin,,,,29,
,,,,,,,,,,END,,,submit,,,,29,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,30,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,30,125023.0
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,30,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,30,113345.0
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,30,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,30,86034.0
,A,B,_h,singleControl,,William didn't want Robert to have any money,William didn't want Robert to have any money,Definitely<br />Enemies,1.0,TRIAL,9,10,,,,396662.0,30,
,A,A,_v,singleControl,,They wanted to split the money,They both wanted to split the money,Definitely<br />Enemies,0.0,TRIAL,97,97,,,,454061.0,30,
,A,A,_h,threat,,Emily picked the option that gives them both money,They seemed to be friends cause Luke voted for Emily to have more money.,Definitely<br />Enemies,0.0,TRIAL,68,95,,,,554406.0,30,
,A,B,_h,threat,,Zoe choose the options that gives them both money.,The both picked an option where they both get money.,Definitely<br />Enemies,1.0,TRIAL,79,63,,,,630262.0,30,
,B,B,_h,threat,,"Olivia picked the option where she would receive money, but not Geoff","Geoff seeing that Olivia choose B, decided to choose B to try to get money.",Definitely<br />Enemies,3.0,TRIAL,27,10,,,,704464.0,30,
,A,A,_v,disjunctive,,Dan choose A cause they both can have the same amount of money.,Kate saw what Dan did and choose the same.,Definitely<br />Enemies,0.0,TRIAL,96,98,,,,765521.0,30,
,A,A,_v,attentionGame,,0,0,Definitely<br />Enemies,,TRIAL,51,50,,,,801771.0,30,
,B,B,_v,disjunctive,,Matt choose the option where they can both get money,"Lauren didn't seem to like Matt so much that she didn't want him to have money at all, even at the cost of losing out on money herself.",Definitely<br />Enemies,3.0,TRIAL,78,3,,,,936289.0,30,
,B,B,_v,pd,,Maria choose an option that can lead to Jacob having no money.,I would say Jacob was nice to split the  money. It didn't make them friends or enemies.,Definitely<br />Enemies,3.0,TRIAL,20,53,,,,1181096.0,30,
,A,A,_v,pd,,Matt choose the option that would give them the chance of them both getting money,"They both choose the option that gave them money,",Definitely<br />Enemies,0.0,TRIAL,85,94,,,,1312055.0,30,
,A,A,_h,coordination,,Rebecca choose the option for them to get money,Both choose the option to get money,Definitely<br />Enemies,0.0,TRIAL,81,96,,,,1401452.0,30,
,B,A,_v,coordination,,Jack choose an option to for them to get money,Gerald decided to not let him nor Jack get money,Definitely<br />Enemies,1.0,TRIAL,84,12,,,,1450938.0,30,
,,,,,,,,,,END,,,begin,,,,30,
,,,,,,,,,,END,,,submit,,,,30,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,31,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,31,65112.0
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-review.html'],,31,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-review.html,,,31,13907.0
,B,B,_h,threat,,She didn't try to maximize the earnings.,Logan chose to take the profit for himself.,Definitely<br />Friends,3.0,TRIAL,71,95,,,,155730.0,31,
,A,A,_h,threat,,He wanted to maximize the profits for both of them.,She was selfless and gave Richmond the higher amount.,Definitely<br />Friends,0.0,TRIAL,33,0,,,,292868.0,31,
,A,B,_h,threat,,They might be friends but he could be just trying to get a higher amount.,Ryan took the higher payment instead of being altruistic.,Definitely<br />Friends,1.0,TRIAL,45,76,,,,1006843.0,31,
,B,A,_v,coordination,,"Hard to say, she could be hoping that William choose B too.",They both only cared about maximum profit and not what the other wanted.,Definitely<br />Friends,1.0,TRIAL,49,95,,,,1048684.0,31,
,A,A,_v,coordination,,Its possible that they are friends and want max profit.,They both chose to benefit each other.,Definitely<br />Friends,0.0,TRIAL,46,10,,,,1080839.0,31,
,B,A,_v,singleControl,,Daniel is in it for himself.,Matthew gave daniel the bonus so they might be friends.,Definitely<br />Friends,1.0,TRIAL,73,18,,,,1138393.0,31,
,A,A,_h,singleControl,,He is being altruistic.,They chose to benefit each other.,Definitely<br />Friends,0.0,TRIAL,29,0,,,,1161068.0,31,
,A,A,_h,pd,,He chose the value that would benefit them both.,They shared the bonus.,Definitely<br />Friends,0.0,TRIAL,29,2,,,,1185177.0,31,
,B,B,_h,pd,,He wants a higher profit for himself.,He chose to take some money for himself.,Definitely<br />Friends,3.0,TRIAL,64,65,,,,1215730.0,31,
,B,B,_h,attentionGame,,0,0,Definitely<br />Friends,,TRIAL,50,50,,,,1226409.0,31,
,A,A,_v,disjunctive,,He wanted a higher profit for both of them.,They shared the highest bonus together.,Definitely<br />Friends,0.0,TRIAL,14,1,,,,1246814.0,31,
,B,B,_h,disjunctive,,"Hard to say, she could be in it for herself.","They both wanted a high amount and both ended up getting nothing, they didnt work together.",Definitely<br />Friends,3.0,TRIAL,57,90,,,,1297753.0,31,
,,,,,,,,,,END,,,begin,,,,31,
,,,,,,,,,,END,,,submit,,,,31,
Begin,,,,,,,,,,INSTRUCTIONS,,,,,[u'instructions/instruct-1.html'],,32,
FinishInstructions,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,32,84278.0
,A,A,_h,disjunctive,,She chose the option that paid them both.,They both chose an option that would pay them the highest.,Definitely<br />Friends,0.0,TRIAL,0,0,,,,86798.0,32,
,B,B,_h,disjunctive,,She chose an option that would potentially pay them $0,"They both chose to not pay the other, even at the expense of them recieving nothing.",Definitely<br />Friends,3.0,TRIAL,92,97,,,,183710.0,32,
